"distrito","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Santa Anita","5","9","6","4","6","2","5","2","6","6"
"Surco","10","10","10","10","10","5","10","8","10","7"
"Pueblo Libre","6","1","7","1","7","2","7","6","7","7"
"Santa Anita","9","9","9","4","10","6","9","8","9","2"
"Miraflores","2","5","3","9","3","9","3","2","3","4"
"Pueblo Libre","8","1","8","8","8","9","8","6","8","1"
"Surco","1","7","1","4","1","4","1","7","1","5"
"Independencia","10","8","10","4","10","3","10","10","10","7"
"San Borja","5","7","5","5","5","3","5","10","5","8"
"La Molina","6","2","6","4","6","3","6","3","6","5"
"La Molina","4","7","4","2","4","1","4","5","4","5"
"San Borja","5","6","5","2","5","2","5","5","5","6"
"Miraflores","6","4","6","6","6","9","6","1","6","8"
"Ate","4","1","4","3","4","2","4","2","4","10"
"Surco","2","8","2","3","2","8","2","5","2","2"
"Independencia","3","9","3","9","3","8","3","8","3","6"
"La Molina","2","8","2","7","2","8","2","2","2","6"
"Independencia","8","2","8","1","8","9","8","8","8","5"
"Surco","5","5","5","8","5","5","5","1","5","5"
"Breña","2","3","2","10","2","8","2","3","2","3"
"San Borja","5","1","5","8","5","10","5","7","5","10"
"San Isidro","4","8","4","3","5","7","4","1","5","4"
"Ate","6","3","6","3","6","6","6","1","6","4"
"La Molina","4","6","4","5","5","9","4","7","5","6"
"San Isidro","3","9","3","2","3","4","3","5","3","4"
"San Miguel","2","9","2","3","2","6","2","2","2","2"
"Surco","6","9","7","6","7","10","7","7","7","6"
"San Borja","9","3","9","7","9","2","9","8","9","4"
"Pueblo Libre","6","9","7","7","7","4","7","5","7","7"
"San Borja","4","9","4","4","5","6","4","3","5","1"
"La Molina","10","7","10","9","10","5","10","5","10","6"
"La Molina","7","5","7","4","7","3","7","1","7","4"
"Surco","1","9","2","2","1","9","1","1","2","1"
"San Borja","8","1","8","1","8","2","8","10","8","6"
"Los Olivos","6","8","7","1","7","5","7","8","7","2"
"Santa Anita","10","5","10","3","10","7","10","1","10","9"
"Miraflores","1","1","1","4","1","1","1","7","1","10"
"San Luis","9","5","9","5","9","4","9","6","9","3"
"Ate","4","3","4","2","4","5","4","1","4","6"
"San Miguel","5","5","5","2","5","9","5","4","5","2"
"Independencia","1","7","1","6","1","1","1","8","1","3"
"Los Olivos","2","8","2","1","2","4","2","1","2","1"
"San Borja","5","2","5","8","5","4","5","2","5","6"
"Pueblo Libre","9","5","10","9","10","1","10","5","9","5"
"Los Olivos","6","6","7","3","7","7","7","4","7","2"
"Breña","6","8","6","8","6","2","6","6","6","1"
"Los Olivos","7","6","7","9","7","2","7","6","7","10"
"Breña","10","5","10","8","10","1","10","7","10","4"
"San Borja","10","9","10","7","10","5","10","4","10","4"
"San Luis","5","1","5","1","5","7","5","8","5","10"
"La Molina","6","4","6","3","6","7","6","4","6","6"
"Miraflores","10","5","10","3","10","8","10","6","10","8"
"Ate","7","3","7","7","8","7","7","2","8","6"
"Santa Anita","6","1","7","4","7","9","6","8","6","6"
"Breña","5","4","5","7","5","5","5","2","5","9"
"Breña","6","3","7","3","7","4","7","2","7","3"
"San Miguel","10","4","10","10","10","5","10","1","10","8"
"San Borja","7","9","7","4","7","9","7","6","7","6"
"Surco","7","7","7","4","7","1","7","10","7","5"
"Surco","9","1","9","7","9","8","9","4","9","8"
"Independencia","1","10","1","1","1","4","1","4","1","2"
"Miraflores","1","6","2","7","2","4","2","9","2","9"
"Barranco","2","4","2","4","2","6","2","4","2","9"
"San Luis","2","4","2","10","2","10","2","5","2","6"
"Pueblo Libre","7","4","7","9","7","10","7","5","7","1"
"San Borja","2","8","2","1","2","3","2","1","2","8"
"Breña","4","5","4","6","4","10","4","7","4","7"
"San Miguel","3","6","3","1","3","9","3","6","3","10"
"Miraflores","5","4","5","9","5","6","5","8","5","1"
"San Borja","6","6","6","9","6","1","6","5","6","10"
"Ate","4","4","4","5","4","10","4","10","4","8"
"San Luis","8","5","8","2","8","4","8","9","8","9"
"Surco","2","8","2","6","2","8","2","7","2","2"
"Pueblo Libre","7","8","7","1","7","1","7","5","7","7"
"San Luis","3","6","3","5","3","9","3","8","3","2"
"La Molina","9","1","9","7","10","7","9","3","9","8"
"Breña","4","4","4","3","4","10","4","6","4","8"
"Pueblo Libre","5","8","5","8","5","1","5","9","5","2"
"Pueblo Libre","8","1","8","3","8","6","8","10","8","5"
"Surco","3","8","3","4","3","5","3","8","3","4"
"San Isidro","8","9","9","3","9","7","8","1","8","8"
"Ate","5","4","5","1","5","6","5","3","5","8"
"Santa Anita","1","1","1","6","1","10","1","3","1","5"
"Independencia","8","9","8","9","8","3","8","9","8","1"
"Ate","2","1","2","8","2","1","2","10","2","4"
"Barranco","2","3","2","3","2","8","2","10","2","6"
"San Miguel","7","4","7","2","7","7","7","1","7","6"
"Independencia","6","6","6","4","6","7","6","4","6","3"
"San Isidro","3","5","3","5","3","10","3","10","3","7"
"Pueblo Libre","7","3","7","8","7","6","7","7","7","5"
"Surco","2","6","2","5","2","3","2","9","2","1"
"Breña","4","9","4","2","4","7","4","2","4","10"
"Pueblo Libre","5","1","5","2","6","2","5","6","5","8"
"Breña","5","2","5","5","5","8","5","7","5","10"
"Pueblo Libre","9","5","10","3","10","3","10","8","10","1"
"San Miguel","10","10","10","2","10","3","10","10","10","1"
"Santa Anita","7","5","7","2","7","3","7","2","7","8"
"Pueblo Libre","3","1","3","5","3","2","3","7","3","9"
"Barranco","9","9","9","6","9","3","9","2","9","9"
"San Luis","9","6","9","10","9","3","9","6","9","2"
"Pueblo Libre","2","6","2","2","2","6","2","2","2","7"
"Breña","3","3","3","7","3","7","3","2","3","2"
"Independencia","6","7","6","6","6","8","6","5","6","4"
"Barranco","1","5","1","7","1","1","1","5","1","3"
"Barranco","8","4","8","10","8","9","8","8","8","3"
"San Luis","6","1","6","10","6","8","6","8","6","5"
"San Isidro","9","10","9","8","10","3","9","9","9","3"
"Miraflores","10","8","10","10","10","5","10","1","10","9"
"Barranco","2","7","3","3","3","1","2","2","2","10"
"Miraflores","5","6","5","1","5","7","5","10","5","10"
"Barranco","4","2","4","5","4","9","4","4","4","5"
"Pueblo Libre","8","1","9","10","9","1","9","6","9","5"
"Los Olivos","4","1","4","8","4","2","4","2","5","2"
"Ate","7","7","8","5","8","5","8","2","8","5"
"Surco","2","4","2","10","2","4","2","9","2","9"
"San Luis","6","7","6","3","6","7","6","10","6","2"
"Independencia","9","4","9","5","9","5","9","5","9","4"
"San Miguel","7","3","7","9","7","7","7","2","7","6"
"La Molina","9","8","10","8","10","1","10","3","9","1"
"Pueblo Libre","4","1","4","7","4","9","4","6","4","8"
"Santa Anita","3","5","3","2","3","1","3","6","3","1"
"Pueblo Libre","2","7","2","10","2","7","2","1","2","6"
"La Molina","5","10","5","6","5","1","5","10","5","5"
"Independencia","9","5","9","2","9","5","9","1","9","3"
"Ate","3","9","3","2","3","7","3","1","3","10"
"Pueblo Libre","8","3","9","3","9","3","9","9","9","1"
"Santa Anita","7","5","8","6","8","10","8","3","8","9"
"La Molina","8","3","8","4","8","5","8","2","8","3"
"Miraflores","5","1","5","6","5","9","5","1","5","6"
"Barranco","4","9","4","3","4","2","4","1","4","2"
"Surco","2","4","2","1","2","3","2","10","2","4"
"San Luis","7","4","7","5","7","8","7","3","7","9"
"La Molina","5","5","5","3","5","8","5","3","5","9"
"San Miguel","9","3","9","10","9","6","9","6","9","3"
"San Isidro","7","8","7","7","7","6","7","3","7","10"
"Barranco","3","1","3","6","3","3","3","7","3","2"
"San Borja","6","9","6","2","6","2","6","4","6","6"
"San Borja","5","6","5","4","5","3","5","1","5","2"
"San Borja","7","3","7","2","7","7","7","6","7","10"
"Los Olivos","2","7","3","10","2","9","2","2","2","3"
"Santa Anita","3","10","3","7","3","2","3","7","3","9"
"Ate","2","4","2","10","2","2","2","5","2","6"
"Independencia","10","3","10","10","10","8","10","9","10","1"
"San Borja","6","3","6","9","6","4","6","7","6","8"
"Ate","3","3","3","6","3","5","3","8","3","9"
"Surco","7","9","7","8","7","8","7","3","7","2"
"Los Olivos","8","10","8","2","8","3","8","2","8","8"
"Santa Anita","7","6","8","6","8","5","8","7","8","1"
"Breña","6","8","6","7","6","2","6","3","6","8"
"San Isidro","5","7","5","1","5","10","5","7","5","9"
"San Luis","2","2","3","2","3","1","3","9","3","10"
"Miraflores","3","6","3","5","3","2","3","10","3","6"
"San Luis","5","2","5","10","6","6","5","10","6","5"
"Barranco","6","5","6","8","6","8","6","6","6","1"
"Miraflores","2","4","2","2","2","3","2","6","2","7"
"Los Olivos","2","2","2","3","2","3","2","5","2","1"
"Breña","8","8","8","5","8","5","8","7","8","9"
"San Luis","6","7","6","4","6","1","6","8","6","8"
"San Luis","3","3","3","2","4","7","3","6","4","10"
"San Isidro","3","4","3","5","3","3","3","10","3","7"
"San Isidro","10","7","10","4","10","6","10","9","10","6"
"La Molina","9","5","10","7","10","1","10","10","10","1"
"Barranco","4","10","4","2","4","9","4","7","4","3"
"Pueblo Libre","1","1","1","10","1","8","1","9","1","6"
"Pueblo Libre","6","5","6","2","6","4","6","6","6","4"
"Ate","7","8","7","10","7","10","7","5","7","1"
"Miraflores","10","2","10","3","10","1","10","2","10","6"
"La Molina","6","4","6","3","6","4","6","7","6","4"
"Barranco","5","2","5","9","6","10","5","1","6","9"
"San Borja","2","7","2","2","2","5","2","2","2","10"
"Pueblo Libre","4","5","4","1","4","2","4","3","4","9"
"Miraflores","9","6","9","8","9","1","9","6","9","10"
"Ate","9","2","10","9","10","9","10","1","10","10"
"San Borja","3","5","3","9","3","8","3","8","3","2"
"La Molina","4","3","4","3","4","8","4","8","4","8"
"San Isidro","3","10","3","10","3","3","3","6","3","7"
"Pueblo Libre","9","7","9","10","9","10","9","9","9","10"
"San Miguel","5","4","5","6","5","3","5","2","5","6"
"Breña","4","1","4","5","4","7","4","6","4","6"
"Surco","9","6","9","10","9","2","9","6","9","10"
"Ate","9","2","9","7","9","8","9","4","9","10"
"Breña","1","4","1","10","1","2","1","7","1","9"
"La Molina","2","1","3","5","3","6","2","9","2","5"
"Ate","7","5","7","6","7","5","7","6","7","7"
"Independencia","7","8","7","10","7","2","7","6","7","5"
"Breña","6","4","7","9","7","9","6","1","7","8"
"San Miguel","1","6","1","3","1","2","1","8","1","4"
"San Miguel","4","3","4","3","4","9","4","5","4","6"
"Pueblo Libre","1","5","1","2","1","3","1","7","1","8"
"San Miguel","1","3","1","9","1","4","1","4","1","2"
"Los Olivos","3","10","3","6","3","4","3","3","3","4"
"Ate","7","7","7","9","7","4","7","4","7","9"
"Santa Anita","5","5","5","10","5","9","5","2","5","6"
"Santa Anita","6","1","6","10","6","7","6","9","6","8"
"Santa Anita","4","2","4","4","4","3","4","6","4","3"
"Ate","10","7","10","9","10","1","10","3","10","2"
"Barranco","3","7","3","8","3","7","3","1","3","1"
"Surco","6","9","6","10","6","1","6","2","6","6"
"Breña","2","4","2","8","2","1","2","4","2","2"
"San Borja","10","1","10","5","10","7","10","3","10","5"
"San Borja","5","6","6","8","6","8","6","5","6","2"
"Breña","1","4","1","10","1","8","1","3","1","5"
"Barranco","5","2","5","3","5","4","5","2","5","10"
"La Molina","8","7","8","3","8","10","8","7","8","1"
"San Isidro","6","6","6","6","6","8","6","5","6","3"
"Barranco","5","9","5","1","5","9","5","5","5","3"
"San Miguel","8","9","9","10","8","3","8","5","8","6"
"Los Olivos","6","6","7","5","7","9","7","1","7","1"
"La Molina","8","6","8","1","8","4","8","6","8","8"
"Surco","2","5","2","5","2","8","2","10","2","2"
"San Luis","4","8","4","2","4","1","4","3","4","3"
"Surco","9","9","9","10","9","9","9","9","9","2"
"Miraflores","7","3","7","10","7","9","7","6","7","2"
"Pueblo Libre","10","10","10","1","10","9","10","9","10","3"
"Barranco","7","5","7","8","7","10","7","4","7","8"
"San Isidro","2","9","2","4","2","6","2","9","2","1"
"San Miguel","6","3","6","5","6","2","6","6","6","2"
"San Luis","8","4","8","7","8","1","8","3","8","6"
"Ate","4","5","4","6","4","8","4","3","4","6"
"La Molina","9","5","9","5","10","7","9","9","9","8"
"La Molina","1","8","1","9","1","9","1","2","1","7"
"Miraflores","6","6","6","2","6","2","6","5","6","5"
"Independencia","3","1","3","8","3","8","3","9","3","5"
"San Isidro","5","1","5","2","6","1","5","4","5","9"
"Surco","3","2","3","10","3","6","3","9","3","1"
"Independencia","8","8","8","6","8","3","8","1","8","1"
"Pueblo Libre","1","6","1","10","1","9","1","7","1","7"
"Barranco","4","3","4","7","4","4","4","4","4","10"
"Barranco","6","7","6","3","6","4","6","8","6","9"
"Independencia","3","10","3","3","3","10","3","10","3","4"
"Ate","9","4","10","7","10","6","10","9","10","6"
"Los Olivos","3","4","3","9","3","1","3","9","4","1"
"Independencia","8","2","9","10","9","1","9","9","9","5"
"Ate","3","8","3","7","3","4","3","4","3","6"
"Miraflores","1","6","1","5","1","2","1","5","1","1"
"Independencia","8","8","9","9","9","2","9","8","9","2"
"Independencia","5","1","5","9","5","4","5","4","5","1"
"Breña","1","10","2","6","2","10","2","5","2","5"
"Ate","8","7","8","3","8","6","8","7","8","8"
"San Isidro","3","8","3","3","3","2","3","1","4","10"
"Santa Anita","5","4","5","9","5","5","5","3","5","4"
"Miraflores","8","6","8","10","8","8","8","6","8","9"
"Los Olivos","7","3","7","8","7","4","7","9","7","8"
"Independencia","7","7","7","4","7","1","7","9","7","9"
"Barranco","6","2","7","1","7","7","7","9","7","4"
"San Miguel","10","3","10","4","10","5","10","1","10","2"
"La Molina","1","10","1","9","1","9","1","6","1","2"
"San Luis","5","2","5","4","5","3","5","6","5","2"
"Ate","4","9","4","7","4","1","4","8","4","4"
"Independencia","7","1","7","1","7","4","7","10","7","6"
"Independencia","5","1","5","9","5","2","5","5","5","5"
